Date,Code,Amount,Close,ForwardFactor,High,Low,Volume,Open
2025-06-25,002074.SZ,885210.31,32.92,0.0,33.48,30.97,272398816.0,31.1
2025-06-26,002074.SZ,850068.5,32.29,0.0,34.39,32.19,256080752.0,32.96
2025-06-27,002074.SZ,506557.13,32.21,0.0,33.4,31.8,155534816.0,32.32
2025-06-30,002074.SZ,461162.44,32.36,0.0,33.18,31.73,142165392.0,32.24
2025-07-01,002074.SZ,413344.13,31.63,0.0,32.31,30.75,131362560.0,31.94
2025-07-02,002074.SZ,192650.27,31.02,0.0,31.69,30.91,61520896.0,31.63
2025-07-03,002074.SZ,252200.63,31.08,0.0,31.33,30.6,81065744.0,31.28
2025-07-04,002074.SZ,244393.31,30.54,0.0,31.05,30.04,79976784.0,30.77
2025-07-07,002074.SZ,147332.33,30.33,0.0,30.79,30.2,48207212.0,30.54
2025-07-08,002074.SZ,188471.63,30.23,0.0,30.45,30.08,62112568.0,30.22
2025-07-09,002074.SZ,336568.22,29.94,0.0,30.98,29.84,110371312.0,30.3
2025-07-10,002074.SZ,176614.45,29.81,0.0,30.19,29.57,59112260.0,29.69
2025-07-11,002074.SZ,252751.23,30.17,0.0,30.6,29.63,83309992.0,29.72
2025-07-14,002074.SZ,151890.3,29.97,0.0,30.53,29.8,50430292.0,30.18
2025-07-15,002074.SZ,218608.67,29.3,0.0,30.34,29.1,73714176.0,29.86
2025-07-16,002074.SZ,108103.2,29.32,0.0,29.56,29.11,36765768.0,29.29
2025-07-17,002074.SZ,205213.3,29.9,0.0,30.05,28.95,68821280.0,29.31
2025-07-18,002074.SZ,376492.38,31.12,0.0,31.68,30.01,121120616.0,30.2
2025-07-21,002074.SZ,238945.72,31.19,0.0,31.49,30.48,77202608.0,31.1
2025-07-22,002074.SZ,244139.67,30.92,0.0,31.57,30.55,78570872.0,30.9
2025-07-23,002074.SZ,212566.53,30.03,0.0,30.69,30.0,70316952.0,30.68
2025-07-24,002074.SZ,164950.48,30.43,0.0,30.58,29.88,54362728.0,29.95
2025-07-25,002074.SZ,190956.08,30.57,0.0,31.25,30.48,61931644.0,30.48
2025-07-28,002074.SZ,217781.63,31.16,0.0,31.36,30.3,70216912.0,30.55
2025-07-29,002074.SZ,167306.59,30.81,0.0,31.27,30.45,54208892.0,30.91
2025-07-30,002074.SZ,228484.58,29.59,0.0,30.97,29.35,76165024.0,30.96
2025-07-31,002074.SZ,138667.44,29.23,0.0,30.12,29.05,47028380.0,29.45
2025-08-01,002074.SZ,111912.95,28.78,0.0,29.33,28.75,38640776.0,29.1
