Date,Code,Low,High,Open,Amount,Close,ForwardFactor,Volume
2025-07-24,002812.SZ,29.32,30.35,29.35,75202.99,30.34,0.0,25107212.0
2025-07-25,002812.SZ,30.36,31.1,30.72,73499.66,30.48,0.0,23895248.0
2025-07-28,002812.SZ,30.0,31.04,30.16,62103.54,30.96,0.0,20261292.0
2025-07-29,002812.SZ,30.61,31.35,30.83,59077.54,31.27,0.0,19066640.0
2025-07-30,002812.SZ,30.15,31.34,31.27,63158.3,30.33,0.0,20603512.0
2025-07-31,002812.SZ,29.45,30.45,30.29,49874.55,29.58,0.0,16697068.0
2025-08-01,002812.SZ,29.44,29.94,29.59,31886.0,29.56,0.0,10760223.0
2025-08-04,002812.SZ,28.82,29.52,29.44,35993.34,29.52,0.0,12337228.0
2025-08-05,002812.SZ,29.5,31.87,29.53,118911.0,30.87,0.0,38443648.0
2025-08-06,002812.SZ,30.28,30.75,30.71,60316.45,30.64,0.0,19777014.0
2025-08-07,002812.SZ,30.15,30.81,30.63,44611.96,30.39,0.0,14647437.0
2025-08-08,002812.SZ,30.05,30.66,30.36,34315.97,30.07,0.0,11344595.0
2025-08-11,002812.SZ,30.41,31.77,30.48,93961.91,31.72,0.0,30252016.0
2025-08-12,002812.SZ,31.0,31.69,31.68,52859.85,31.33,0.0,16931210.0
2025-08-13,002812.SZ,31.69,32.66,32.11,88233.86,31.78,0.0,27493456.0
2025-08-14,002812.SZ,31.01,32.33,32.1,63675.78,31.15,0.0,20155364.0
2025-08-15,002812.SZ,31.02,32.16,31.03,65159.83,32.07,0.0,20497148.0
2025-08-18,002812.SZ,31.92,32.43,32.28,64077.07,32.07,0.0,19916176.0
2025-08-19,002812.SZ,31.54,32.32,31.99,54425.84,31.99,0.0,17044602.0
2025-08-20,002812.SZ,31.42,32.04,31.92,46125.8,32.02,0.0,14525906.0
2025-08-21,002812.SZ,31.26,32.08,31.96,48973.85,31.45,0.0,15489566.0
2025-08-22,002812.SZ,31.31,31.96,31.41,48130.7,31.89,0.0,15169465.0
2025-08-25,002812.SZ,31.92,32.6,32.01,63381.93,32.24,0.0,19679274.0
2025-08-26,002812.SZ,31.85,32.32,32.11,66135.23,31.95,0.0,20639278.0
2025-08-27,002812.SZ,31.1,32.54,32.03,84871.91,31.11,0.0,26576634.0
2025-08-28,002812.SZ,30.6,32.07,31.11,78027.49,31.47,0.0,24863884.0
2025-08-29,002812.SZ,31.39,33.1,31.41,139066.19,32.3,0.0,42808772.0
2025-09-01,002812.SZ,32.27,33.0,32.42,93725.18,32.6,0.0,28729136.0
2025-09-02,002812.SZ,32.35,33.69,32.69,109966.12,32.58,0.0,33383430.0
