Date,Code,Amount,Low,High,Open,Volume,ForwardFactor,Close
2025-07-07,301076.SZ,8225.26,25.32,25.9,25.59,2456045.0,0.0,25.82
2025-07-08,301076.SZ,38857.81,25.72,27.62,25.72,11092839.0,0.0,27.05
2025-07-09,301076.SZ,28189.23,26.52,27.69,27.46,8004504.0,0.0,26.72
2025-07-10,301076.SZ,16465.98,25.95,26.77,26.44,6294874.0,0.0,26.12
2025-07-11,301076.SZ,34012.48,25.75,27.86,26.01,12662087.0,0.0,27.41
2025-07-14,301076.SZ,81887.34,27.56,31.95,28.18,27001912.0,0.0,30.88
2025-07-15,301076.SZ,71520.75,30.1,31.74,30.77,23159812.0,0.0,31.24
2025-07-16,301076.SZ,57438.55,30.33,31.73,30.75,18586026.0,0.0,30.67
2025-07-17,301076.SZ,50484.48,30.06,31.88,30.51,16274905.0,0.0,30.68
2025-07-18,301076.SZ,33710.57,29.9,30.97,30.51,11134375.0,0.0,30.23
2025-07-21,301076.SZ,54853.63,30.21,32.13,30.6,17647176.0,0.0,31.36
2025-07-22,301076.SZ,40223.78,29.8,31.26,31.05,13256550.0,0.0,30.12
2025-07-23,301076.SZ,21159.03,29.21,30.11,29.89,7118010.0,0.0,29.65
2025-07-24,301076.SZ,16614.84,29.4,30.25,29.43,5599901.0,0.0,29.65
2025-07-25,301076.SZ,16129.95,29.27,29.85,29.54,5477945.0,0.0,29.52
2025-07-28,301076.SZ,79328.66,29.98,33.5,29.98,24729816.0,0.0,32.12
2025-07-29,301076.SZ,45292.24,31.07,31.92,31.43,14412775.0,0.0,31.51
2025-07-30,301076.SZ,33879.01,30.22,31.63,31.28,11001638.0,0.0,30.38
2025-07-31,301076.SZ,25526.6,29.68,30.78,30.12,8426228.0,0.0,29.85
2025-08-01,301076.SZ,17906.59,29.62,30.3,29.66,5992671.0,0.0,29.75
