Date,Code,Volume,Open,Amount,High,Low,Close,ForwardFactor
2025-06-20,600366.SH,100507400.0,9.77,97202.76,9.83,9.48,9.52,0.0
2025-06-23,600366.SH,87790952.0,9.3,84634.8,9.71,9.3,9.67,0.0
2025-06-24,600366.SH,97478784.0,9.67,95452.57,9.84,9.61,9.79,0.0
2025-06-25,600366.SH,85252720.0,9.75,83996.89,9.9,9.72,9.81,0.0
2025-06-26,600366.SH,72982600.0,9.75,71107.8,9.84,9.55,9.62,0.0
2025-06-27,600366.SH,120559840.0,9.73,119498.73,10.01,9.65,9.82,0.0
2025-06-30,600366.SH,170226848.0,10.14,177486.05,10.81,10.05,10.81,0.0
2025-07-01,600366.SH,201936848.0,10.81,224046.95,11.3,10.71,11.2,0.0
2025-07-02,600366.SH,128708488.0,10.95,140198.59,11.17,10.64,10.74,0.0
2025-07-03,600366.SH,99170200.0,10.69,107250.76,10.97,10.61,10.89,0.0
2025-07-04,600366.SH,85510080.0,10.9,91044.79,10.95,10.47,10.52,0.0
2025-07-07,600366.SH,121645680.0,10.35,132901.86,11.34,10.35,11.05,0.0
2025-07-08,600366.SH,155839840.0,10.96,177228.53,11.6,10.88,11.22,0.0
2025-07-09,600366.SH,103399040.0,11.25,114544.9,11.31,10.86,10.91,0.0
2025-07-10,600366.SH,205651328.0,11.35,236740.97,11.94,11.0,11.72,0.0
2025-07-11,600366.SH,232040256.0,11.95,283340.78,12.55,11.61,12.22,0.0
2025-07-14,600366.SH,149141792.0,12.28,179004.13,12.55,11.65,11.7,0.0
2025-07-15,600366.SH,246084768.0,11.66,311460.88,12.87,11.66,12.29,0.0
2025-07-16,600366.SH,193893440.0,12.06,224925.77,12.13,11.35,11.4,0.0
2025-07-17,600366.SH,101862544.0,11.16,115935.55,11.57,11.05,11.48,0.0
2025-07-18,600366.SH,157460224.0,11.42,186714.77,12.23,11.4,11.76,0.0
2025-07-21,600366.SH,122634712.0,11.68,145758.5,12.06,11.65,11.88,0.0
2025-07-22,600366.SH,98522304.0,11.76,115416.68,12.08,11.55,11.64,0.0
2025-07-23,600366.SH,75184600.0,11.54,87363.66,11.81,11.28,11.58,0.0
2025-07-24,600366.SH,188454144.0,11.5,231227.64,12.49,11.47,12.36,0.0
2025-07-25,600366.SH,184835696.0,12.31,233572.89,13.15,12.21,12.7,0.0
2025-07-28,600366.SH,110657512.0,13.0,142143.14,13.06,12.7,12.78,0.0
2025-07-29,600366.SH,79436600.0,12.5,99184.54,12.73,12.37,12.49,0.0
2025-07-30,600366.SH,88034928.0,12.47,106859.4,12.53,11.91,12.18,0.0
2025-07-31,600366.SH,54757688.0,12.05,65702.99,12.22,11.83,11.89,0.0
2025-08-01,600366.SH,44855256.0,11.88,52514.58,11.88,11.62,11.66,0.0
2025-08-04,600366.SH,40437608.0,11.68,47179.31,11.76,11.59,11.71,0.0
2025-08-05,600366.SH,51834676.0,11.88,61282.4,11.97,11.71,11.76,0.0
2025-08-06,600366.SH,62325516.0,11.76,74040.3,12.02,11.61,11.97,0.0
