Date,Code,ForwardFactor,Open,Low,High,Volume,Close,Amount
2025-05-28,605378.SH,0.0,16.47,16.27,16.88,4400360.0,16.36,10406.08
2025-05-29,605378.SH,0.0,16.25,16.25,16.93,4411080.0,16.75,10541.34
2025-05-30,605378.SH,0.0,16.68,16.37,16.83,3083220.0,16.48,7294.69
2025-06-03,605378.SH,0.0,16.48,16.3,17.25,5836361.0,16.99,14051.0
2025-06-04,605378.SH,0.0,17.01,16.85,17.52,8574133.0,17.34,14739.75
2025-06-05,605378.SH,0.0,17.22,16.88,17.4,6039592.0,16.96,10322.41
2025-06-06,605378.SH,0.0,16.9,16.7,17.19,4690172.0,16.84,7935.68
2025-06-09,605378.SH,0.0,16.8,16.8,17.44,4894372.0,17.1,8380.78
2025-06-10,605378.SH,0.0,17.08,17.08,18.81,16040194.0,17.62,28796.65
2025-06-11,605378.SH,0.0,17.6,17.31,17.9,8785731.0,17.38,15385.62
2025-06-12,605378.SH,0.0,17.45,17.35,17.63,5299496.0,17.53,9255.57
2025-06-13,605378.SH,0.0,17.43,17.23,18.0,7285814.0,17.4,12784.62
2025-06-16,605378.SH,0.0,17.29,16.96,17.66,5278796.0,17.43,9114.17
2025-06-17,605378.SH,0.0,17.38,17.25,17.59,4550928.0,17.43,7929.52
2025-06-18,605378.SH,0.0,17.44,16.91,17.45,4522804.0,17.1,7732.41
2025-06-19,605378.SH,0.0,17.07,16.73,17.42,5464575.0,16.77,9356.25
2025-06-20,605378.SH,0.0,16.7,16.69,17.6,7122920.0,17.19,12196.61
2025-06-23,605378.SH,0.0,16.99,16.81,17.57,6835792.0,17.5,11838.75
2025-06-24,605378.SH,0.0,17.55,17.55,18.25,12346478.0,18.21,22284.9
2025-06-25,605378.SH,0.0,18.19,17.94,20.03,17497308.0,20.03,33650.31
2025-06-26,605378.SH,0.0,20.03,19.5,22.0,31959314.0,20.27,65894.12
2025-06-27,605378.SH,0.0,20.17,19.8,22.3,27654220.0,22.3,57095.54
2025-06-30,605378.SH,0.0,22.07,21.66,24.42,32861432.0,23.59,75389.57
2025-07-01,605378.SH,0.0,22.6,21.66,22.99,24673902.0,21.66,54783.74
2025-07-02,605378.SH,0.0,21.11,20.59,21.61,15292045.0,21.08,32236.46
2025-07-03,605378.SH,0.0,21.01,20.92,22.7,22631634.0,22.26,49436.59
2025-07-04,605378.SH,0.0,21.6,20.95,21.97,15741092.0,20.96,33656.59
2025-07-07,605378.SH,0.0,20.66,20.51,21.37,8906604.0,21.2,18846.92
2025-07-08,605378.SH,0.0,21.21,20.87,21.31,8144083.0,21.1,17146.25
2025-07-09,605378.SH,0.0,21.11,20.61,21.59,9451829.0,20.7,19812.9
2025-07-10,605378.SH,0.0,20.7,20.13,20.7,8285420.0,20.51,16898.16
2025-07-11,605378.SH,0.0,20.61,20.31,20.8,6363170.0,20.6,13097.34
2025-07-14,605378.SH,0.0,20.76,20.7,21.13,7167049.0,20.8,14945.91
2025-07-15,605378.SH,0.0,20.64,20.32,20.98,7084972.0,20.66,14582.09
2025-07-16,605378.SH,0.0,20.79,20.52,21.06,6831079.0,20.66,14165.14
2025-07-17,605378.SH,0.0,20.45,20.11,20.8,6235429.0,20.7,12813.83
2025-07-18,605378.SH,0.0,20.67,20.55,20.99,6289687.0,20.68,13040.98
2025-07-21,605378.SH,0.0,20.55,20.31,21.17,6857612.0,20.71,14230.88
2025-07-22,605378.SH,0.0,20.59,20.53,21.45,12909510.0,21.16,27180.06
2025-07-23,605378.SH,0.0,21.04,20.28,21.08,9627656.0,20.36,19919.31
2025-07-24,605378.SH,0.0,20.35,20.27,20.54,4588862.0,20.38,9363.17
2025-07-25,605378.SH,0.0,20.4,20.16,20.4,3846512.0,20.27,7786.96
2025-07-28,605378.SH,0.0,20.28,20.25,20.74,5121804.0,20.59,10531.23
2025-07-29,605378.SH,0.0,20.53,19.98,20.73,6105553.0,20.12,12371.5
2025-07-30,605378.SH,0.0,20.0,19.38,20.4,7999639.0,20.05,15833.01
2025-07-31,605378.SH,0.0,19.85,19.55,20.18,4350160.0,19.66,8630.84
