Date,Code,High,ForwardFactor,Close,Open,Low,Volume,Amount
2025-04-24,688321.SH,16.9,0.0,16.67,16.64,16.41,2665019.0,4436.73
2025-04-25,688321.SH,17.06,0.0,16.88,16.74,16.55,3893172.0,6535.19
2025-04-28,688321.SH,16.88,0.0,16.82,16.88,16.07,5587467.0,9222.93
2025-04-29,688321.SH,17.02,0.0,16.97,16.61,16.61,3125879.0,5280.12
2025-04-30,688321.SH,17.38,0.0,17.14,16.84,16.84,2761253.0,4748.24
2025-05-06,688321.SH,17.66,0.0,17.43,17.41,17.25,4444158.0,7757.29
2025-05-07,688321.SH,17.74,0.0,17.16,17.68,17.06,2981906.0,5175.06
2025-05-08,688321.SH,17.7,0.0,17.42,17.23,17.02,3864497.0,6753.46
2025-05-09,688321.SH,17.53,0.0,17.2,17.4,17.17,2147356.0,3712.52
2025-05-12,688321.SH,17.41,0.0,17.25,17.3,17.13,2905987.0,5015.35
2025-05-13,688321.SH,17.68,0.0,17.42,17.5,17.29,2934691.0,5126.04
2025-05-14,688321.SH,17.58,0.0,17.36,17.4,17.24,2009652.0,3493.07
2025-05-15,688321.SH,17.45,0.0,17.28,17.36,17.13,2064205.0,3571.47
2025-05-16,688321.SH,17.76,0.0,17.46,17.21,17.2,3536948.0,6194.24
2025-05-19,688321.SH,17.51,0.0,17.28,17.51,17.11,2548978.0,4400.28
2025-05-20,688321.SH,17.77,0.0,17.56,17.39,17.35,3670820.0,6466.3
2025-05-21,688321.SH,18.25,0.0,17.75,17.75,17.5,4146324.0,7440.33
2025-05-22,688321.SH,17.84,0.0,17.61,17.65,17.4,4031458.0,7092.58
2025-05-23,688321.SH,18.0,0.0,17.54,17.55,17.5,4628121.0,8227.9
2025-05-26,688321.SH,17.66,0.0,17.12,17.66,17.08,3883029.0,6696.63
2025-05-27,688321.SH,17.35,0.0,17.19,17.2,17.03,4273145.0,7351.27
2025-05-28,688321.SH,18.43,0.0,18.24,17.2,17.11,12342301.0,22151.17
2025-05-29,688321.SH,20.2,0.0,19.69,18.48,18.39,19431780.0,37861.57
2025-05-30,688321.SH,20.0,0.0,19.8,19.78,19.43,13217399.0,26094.76
2025-06-03,688321.SH,22.98,0.0,22.4,19.9,19.89,29030110.0,63844.47
2025-06-04,688321.SH,22.8,0.0,22.58,22.21,21.62,19959674.0,44573.91
2025-06-05,688321.SH,23.46,0.0,23.35,22.58,22.0,23129000.0,52798.83
2025-06-06,688321.SH,23.15,0.0,22.9,23.05,21.7,23343692.0,52562.57
2025-06-09,688321.SH,24.49,0.0,23.76,22.8,22.8,26185108.0,62112.31
2025-06-10,688321.SH,23.87,0.0,22.85,23.74,22.7,19004644.0,44031.19
2025-06-11,688321.SH,23.1,0.0,22.41,22.93,22.36,11665104.0,26363.59
2025-06-12,688321.SH,24.1,0.0,23.32,22.68,22.22,19046016.0,44043.15
2025-06-13,688321.SH,23.68,0.0,22.92,23.2,22.76,10683032.0,24663.39
2025-06-16,688321.SH,23.36,0.0,22.79,22.92,22.55,7098910.0,16252.88
2025-06-17,688321.SH,23.45,0.0,22.22,23.27,22.01,13962383.0,31409.92
2025-06-18,688321.SH,22.33,0.0,22.26,21.89,21.65,10008197.0,21985.76
2025-06-19,688321.SH,22.53,0.0,21.48,22.26,21.35,7648529.0,16670.56
2025-06-20,688321.SH,21.68,0.0,21.17,21.68,20.8,8627588.0,18270.53
