Date,Code,High,Volume,Open,Close,Amount,ForwardFactor,Low
2025-06-23,300689.SZ,45.08,2290282.0,43.9,45.01,10165.37,0.0,43.05
2025-06-24,300689.SZ,46.14,2271290.0,46.14,44.63,10148.78,0.0,44.31
2025-06-25,300689.SZ,45.6,2954273.0,44.6,45.03,13229.72,0.0,43.89
2025-06-26,300689.SZ,45.09,2666313.0,45.09,43.87,11806.16,0.0,43.68
2025-06-27,300689.SZ,44.86,3477450.0,41.4,44.66,15006.79,0.0,41.0
2025-06-30,300689.SZ,45.49,2585190.0,44.73,44.57,11529.37,0.0,44.04
2025-07-01,300689.SZ,45.26,1786337.0,44.46,45.12,7960.95,0.0,43.95
2025-07-02,300689.SZ,45.11,1513700.0,45.11,43.59,6656.67,0.0,43.5
2025-07-03,300689.SZ,44.47,1163645.0,43.84,43.69,5098.8,0.0,43.38
2025-07-04,300689.SZ,44.5,1364470.0,43.8,43.51,5946.18,0.0,42.98
2025-07-07,300689.SZ,43.57,786420.0,43.48,43.18,3398.82,0.0,42.89
2025-07-08,300689.SZ,43.63,1390560.0,43.08,42.77,5989.04,0.0,42.6
2025-07-09,300689.SZ,42.96,2636350.0,42.78,41.59,11050.2,0.0,41.38
2025-07-10,300689.SZ,42.2,2528260.0,41.56,41.5,10513.51,0.0,40.7
2025-07-11,300689.SZ,41.68,1529120.0,41.48,41.35,6315.29,0.0,40.95
2025-07-14,300689.SZ,41.46,1789900.0,41.34,41.14,7320.09,0.0,40.68
2025-07-15,300689.SZ,41.21,1955500.0,41.12,40.32,7917.52,0.0,39.93
2025-07-16,300689.SZ,40.91,1363586.0,40.67,40.36,5528.92,0.0,40.3
2025-07-17,300689.SZ,41.62,3883595.0,40.74,39.84,15729.72,0.0,39.76
2025-07-18,300689.SZ,40.66,2456100.0,39.8,40.25,9847.65,0.0,39.54
